Designators,Qty,Brand,Part Number
C1 C2 ,2,Yageo,CC0603JRNPO9BN180
C3 C5 ,2,Yageo,CC0603JPX7R9BB104
C4 ,1,Taiyo Yuden,UMK107BJ105KA-T
D1 ,1,Nexperia,BZT52-B5V6J
F1 ,1,Bel Fuse,0ZCJ0075AF2E
FB1 ,1,Murata,BLM18PG221SH1D
J1 ,1,JST,B4B-PH-K-S(LF)(SN)
J2 ,1,Hirose,FH12-6S-0.5SH(55)
R10 R11 ,2,Yageo,RC0603FR-074K7L
R2 R1 ,2,Vishay Dale,CRCW060310K0JNEAC
R8 R9 ,2,Yageo,RT0603DRD0722RL
SW6 ,1,Diptronics,PTLP2
SW7 ,1,Apem,DM01
U1 ,1,Microchip,ATMEGA32U2-AU
U2 ,1,Texas Instruments,TLV75533PDBVR
U3 ,1,STMicroelectronics,USBLC6-2SC6
Y1 ,1,Abracon,ABM8AIG-16.000MHz-4-T
